miRNA;Target
hsa-miR-26a-1-3p;ANP32B
hsa-miR-26a-1-3p;SAR1A
hsa-miR-26a-1-3p;ZBTB10
hsa-miR-26a-1-3p;ATP5S
hsa-miR-26a-1-3p;C19orf52
hsa-miR-26a-1-3p;ZNF573
hsa-miR-26a-1-3p;KANK2
hsa-miR-26a-1-3p;LANCL3
hsa-miR-26a-1-3p;PTEN
hsa-miR-26a-1-3p;SRSF7
hsa-miR-26a-1-3p;FGFBP3
hsa-miR-26a-1-3p;RBM20
hsa-miR-26a-1-3p;ZNF326
hsa-miR-26a-1-3p;KANK2
hsa-miR-26a-1-3p;DEPTOR
hsa-miR-26a-1-3p;GOSR1
hsa-miR-26a-1-3p;PHF13
hsa-miR-26a-1-3p;PKN2
hsa-miR-26a-1-3p;PTEN
hsa-miR-26a-1-3p;SOWAHC
hsa-miR-26a-1-3p;TAB1
hsa-miR-26a-1-3p;ZNF48
hsa-miR-26a-1-3p;ASB16
hsa-miR-26a-1-3p;FAM192A
hsa-miR-26a-1-3p;PLSCR1
hsa-miR-26a-1-3p;RBM20
hsa-miR-26a-1-3p;SAR1A
hsa-miR-26a-1-3p;FOXL2NB
hsa-miR-26a-1-3p;CCDC149
hsa-miR-26a-1-3p;SCOC
hsa-miR-26a-1-3p;ZKSCAN2
hsa-miR-26a-1-3p;RBM20
hsa-miR-26a-1-3p;PTEN
hsa-miR-26a-1-3p;GABRB1
hsa-miR-26a-1-3p;KDELR1
hsa-miR-26a-1-3p;PTEN
hsa-miR-26a-1-3p;SRSF7
hsa-miR-26a-1-3p;SRSF7
hsa-miR-26a-1-3p;SRSF7
hsa-miR-26a-1-3p;PTEN
hsa-miR-26a-1-3p;ZNF652
hsa-miR-26a-1-3p;SRSF7
hsa-miR-26a-1-3p;PTEN
hsa-miR-26a-1-3p;RBM20
hsa-miR-26a-1-3p;CEP126
hsa-miR-26a-1-3p;GABRG2
hsa-miR-26a-1-3p;CEP126
hsa-miR-26a-1-3p;CEP126
hsa-miR-26a-1-3p;USP42
hsa-miR-26a-1-3p;LRPPRC
hsa-miR-26a-1-3p;LRPPRC
hsa-miR-26a-1-3p;RPL36A-HNRNPH2
hsa-miR-26a-1-3p;LRPPRC
hsa-miR-26a-1-3p;AAK1
hsa-miR-26a-1-3p;LRPPRC
hsa-miR-26a-1-3p;USP42
hsa-miR-26a-1-3p;ZBTB18
hsa-miR-26a-1-3p;ATP5S
hsa-miR-26a-1-3p;BIRC5
hsa-miR-26a-1-3p;USP42
hsa-miR-26a-1-3p;MCOLN2
hsa-miR-26a-1-3p;ZBTB18
hsa-miR-26a-1-3p;ATP5S
hsa-miR-26a-1-3p;CSRNP3
hsa-miR-26a-1-3p;USP42
hsa-miR-26a-1-3p;LRPPRC
hsa-miR-26a-1-3p;ATP5S
hsa-miR-26a-1-3p;UPP2
hsa-miR-26a-1-3p;UPP2
hsa-miR-26a-1-3p;AAK1
